Category,Answer
clubhouse,Free use of the club house for residents.
clubhouse,Paint clubhouse
clubhouse,Rent out clubhouse more
clubhouse,"Repainting the outside exterior of the club house. I would be willing to get some volunteers perhaps, and do it as a community project?"
gates,Get rid of useless gate
gates,"Keep both gated enterances working,"
gates,Keep the gates closed 24/7. I know many have asked to keep them open at certain times but I and many others moved here specifically for the security and added protection.
gates,More reliability in gate operation
gates,Security cameras at gates if not already in play
gates,The Gates
gates,"gates stay open for school bus, closed the rest of the day."
gates,maintaining the gates
lake,Geese gathering by SC Wildlife last done 2008 by Hinson. Reduce the damage on both sides of the lake and playground. Health hazard $1000-1500
lake,Get rid of the geese!
lake,"Lake carp installed to eliminate undergrowth of vegetation and green slime on the water. Stock with fish, not been done in 8-10 years approximate cost $1500."
lake,Picnic tables at the park near the lake
lake,Playgrounds
lake,"Update playgrounds, picnic tables and more equipment"
lake,"Upper dam culvert and clean up to include removal of limbs and stagnant water and Beaver Removal estimates several years ago was $5,000."
landscaping,Add addendum to HOA requiring weed treatment or be subjected to fines
landscaping,Address lawn maintenance with all residence
landscaping,Clean curbs and sidewalks and kill grass in the roads
landscaping,"Grounds work; grass, trees and shrubs."
landscaping,Trees at entrance need to be trimmed so the Glen Lake sign is more visible. Have visitors tell me it it hard to see because of the trees.
light,Lighting
light,"Lighting at rear gate if it needs it, the new front gate lighting is great!!! Good job!"
light,Streetlights added to dark sections of the community
maintenance,Getting broken and unpainted fences done.
maintenance,Roof replacement in townhomes
maintenance,"Continue with repairs, upkeep, etc. on clubhouse, pool, etc"
maintenance,Maintain what we have
maintenance,Maintenance of our public areas
pool,Larger pool area
pool,Pool
pool,Pool repairs outside of normal expense
pool,Pool update as needed -including cracks in pool deck
pool,Routine pool maintenance
pool,The Pool
pool,cleaning the concrete around the pool & club house
roads,Patch and repair roads to extend life expectancy
roads,Repave Shoreline Blvd. . Mainly where it branches off main Shoreline Blvd to Dewfield Ln. .
roads,Repaving the community
roads,Repaying cracked streets. Cost: Around 1mil
roads,Roads
roads,Roads are in very fair condition
roads,Roads are needing attention but I understand this is big $$$$ Not sure if there is a fund reserved for putting money towards roads
roads,Seal coat roads and worry about repaving in a few years
save,bare bones to maintain for a year to give homeowners a break
save,Continue to build reserve funds for roads and swimming pool until fully funded
save,Get at least 3 bids for every project
save,Identify cost saving measures
save,Keep saving to build up reserves for the road/pool
save,Most properties are kept in good condition. Continue to monitor. Keep Glen Lake beautiful.
save,Not increasing fees
save,"Not sure if there is, but reserved money for big things that come up like the repairs needed at the dam"
save,Save money
sidewalks,Fix sidewalks
sidewalks,Sidewalk repairs
sidewalks,Sidewalks
sidewalks,Sidewalks - level
sidewalks,Sidewalks that connect. There are several locations where the connection is interrupted. There are also several sections where the sidewalk curves but should have a connection to the stop sign. It's like the civil engineer who designed the outlay was
sidewalks,sidewalk repairs
social,Bring back the fun activities of the social committee
social,"Improve utilization of common areas with low cost events (more game nights with things other than bunko or texas holdem). Not looking to spend a fortune, but focus on family friendly type of events with some snacks and food (turn self-fund in year)"
social,"More community activities, events, etc. to encourage our residence to get to know each other more."
speedbumps,Add a speed bump to Shoreline when coming up the hill before Dewfield Ln. People speed coming up the hill and it's dangerous trying to back out of the driveway.
speedbumps,Additional speed bumps - shoreline (my kid was almost hit) toward bottoms hill
speedbumps,Bigger speed bumps that actually slow people down.
speedbumps,Eliminate speed bumps
speedbumps,More speed bumps
speedbumps,Road bumpers to slow traffic
speedbumps,Speed bumps
speedbumps,Speed bumps(not humps)
speedbumps,Speed humps
speedbumps,Speedhumps
speedbumps,"Speedhumps, the more we have, less speeders will have"
